Product Name,Price
CAT6 – 305 METER ROLL Network Cable,
ELLIESWASHING LINE 1.5 MTR,R359.00
LAN CABLE FOR NETWORK CONNECTION 10 MTR,R75.00
RG59 – 300 MTR ROLL CABLE,R970.00
USD DEVICE CABLE 10.M (A-B) PRINTER USB2.0,R74.00
VGA COMPUTER CABLE 1.5M,R29.00
BNC-ECO,R8.00
COAXIAL CABLE BNC CRIMP CONNECTOR,R6.50
DC-FLYLEAD ACC-DC FLY LEAD FOR CCTV CAMERA,R12.00
HIKVISION 1080P DVR 8CHANNEL TURBO HD,"R1,130.00"
HIKVISION 16 CHANNEL 1080P DVR,"R1,759.00"
HIKVISION 16CH 4K NVR 160MBPS NO POE,"R3,499.00"
Hikvision 2 MP ColorVu Bullet Camera,R519.00
HIKVISION 2MP BULLET 2.8MM(HARD PLASTIC),R299.00
HIKVISION 2MP IP BULLET 2.8 MM,"R1,139.00"
HIKVISION 4CH DVR 1080P UP TO 4MP,R899.00 R935.00
Dahua 16GB USB Flash Drive-USB,R49.00 R57.00
Dahua 32GB USB Flash Drive-USB,R67.00
Dahua 64GB USB Flash Drive-USB,R69.00
Dahua 8GB USB Flash Drive-USB,R45.00
Kingston 128GB DataTraveler Exodia USB 3.2,R189.00
KINGSTON 128GB USB 3.0,R279.00
Kingston DTX/64GB DataTraveler Exodia USB 3.2 Flash Drive,R129.00
SanDisk Cruzer Blade 16GB USB Flash Drive – Electric Blue,R60.00
SanDisk Cruzer Glide 3.0 256GB USB 3.2 Gen 1 Type-A Black USB Flash Drive,R499.00
SanDisk SDCZ33-016G-G35 16GB CRUZER FIT USB 2.0 Black and Silver Flash Drive,R65.00
SanDisk SDCZ33-032G-G35 32GB USB 2.0 Black and Silver Flash Drive,R68.00
SanDisk SDCZ430-064G-G46 Ultra Fit 64GB USB 3.1 Black Flash Drive,R139.00
SEAGATE 6TB SURVEILLANCE INTERNAL HARD DRIVE HDD,"R2,699.00"
Seagate external portable Hard drive,R699.00
Seagate external portable Hard drive,R979.00
WD Elements Portable 2TB Black External Hard Drive,R979.00
WD Elements Portable External 1.5TB Hard Drive Black,R810.00
WD Purple 2TB 3.5″ Surveillance Hard Drive,R999.00
Western Digital 1TB WD Purple Surveillance Internal Hard Drive HDD,R689.00
Western Digital 2TB Internal Purple Surveillance Hard drive,"R1,599.00"
Western Digital 4TB Purple Surveillance Harddrive,"R1,989.00"
Western Digital Elements 1TB External Hard Drive Black,R699.00
Western Digital Elements 4TB External Hard Drive Black,"R1,499.00"
Western Digital Internal Purple Harddrive,"R2,799.00"
LOGITECH USB HEADSET NOICE CANCELLING MIC,R689.00
COMPATIBLE CANON 045B/CF400 BLACK TONER,R275.00
COMPATIBLE CANON 045C/CF401 CYAN,R299.00
COMPATIBLE CANON 045M/CF403 MAJENTA,R299.00
COMPATIBLE CANON 045Y/CF402 YELLOW,R299.00
COMPATIBLE CANON 054 /CF54CYAN TONER,R299.00
COMPATIBLE CANON 054 BLACK/CF540 BLACK,R299.00
COMPATIBLE CANON 727/HP7570A UNI BLACK,R749.00
COMPATIBLE CANON 737/HP CF283A UNIVERSAL 1500Y,R178.00
COMPATIBLE HP 255A/CAN 724 BLACK,R351.00
COMPATIBLE HP 2612A/FX10/703 UNI BLACK,R149.00
COMPATIBLE HP 280A/505A/CF278A/CAN719B,R199.00
COMPATIBLE HP 285/435/436/CAN712/725 UNIVERSAL,R165.00
"3 IN 1 DESKTOP MULTIMEDIA KEYBOARD, MOUSE, SPEAKER COMBO",R249.00
DOOMAX WIRELESS KEYBOARD MOUSE COMBO,R169.00
KEYBOARD MOUSE COMBO,R109.00
KEYBOARD MOUSE COMBO,
LOGITECH WIRELESS KEYBOARD AND MOUSE COMBO,R359.00
Adata 4GB DIMM DDR4 PC-2666 Desktop Memory,R330.00
DESKTOP MEMORY 4GB,R349.00
Hikvision 16GB Notebook Memory,R998.00
Hikvision 4GB Notebook Memory,R307.00
Hikvision 8GB Notebook Memory,R522.00
KINGMAX DESKTOP MEMORY 4GB DDR3-1600,R339.00
LAPTOP MEMORY 8GB,R599.00
Patriot Signature Series 8GB 2666MHz (PC4-21300) DDR4 SODIMM Laptop Memory,R599.00
Kingston Technology – Canvas Select SDCS/32GB MicroSD,R79.00
Kioxia 32GB microSD Exceria Flash Memory Card w/Adapter U1 R100 C10 Full HD High Read Speed 100MB/s,R79.00
SANDISK 16GB CLASS 10 MEMORY CARD,R75.00
SANDISK 256GB ULTRA MICROSDXC 100MB/S CLASS 10 UHS-I MEMORY CARD,R449.00
SANDISK 32GB MEMORY CARD,R69.00
SANDISK 64GB CLASS 10 MEMORY CARD,R149.00
SanDisk SDSQUNR-032G-GN3MN memory card 32 GB MicroSDHC Class 10,R71.00
SanDisk Ultra memory card 128 GB MicroSDXC Class 10,R239.00
DAHUA 18.5″LED MONITOR,"R1,599.00"
DOOMAX Q3 GAMING MOUSE,R110.00
EUROCASE Eumo-1780 Argon Optical Gaming Mouse,R179.00
USB WIRED OPTICAL MOUSE,R39.00
Wired Gaming Mouse And Pad Combo,R145.00
WIRELESS MOUSE,R45.00
WIRELESS OPTICAL MOUSE,R98.00
ASUS X409 Core i7 8565U,"R10,599.00"
ASUS X543MA-C41G0W Intel Celeron N4020,"R4,199.00"
Dell Inspiron 3511 11th gen Notebook Intel i7-1165G7,"R12,999.00"
HP 250 G8 15.6-inch FHD Laptop – Intel Core i5-1135G7 256GB SSD 8GB RAM Win 10 Pro,"R12,199.00"
HP 250 G8 Notebook PC – Core i5-1035U,"R9,999.00"
HP 250 G9 Notebook PC – Celeron N4020 / 15.6″ HD / 8GB RAM / 256GB SSD / Windows 11 Home,"R4,985.00 R5,399.00"
HP 255 G10 15.6-inch HD Laptop – AMD Ryzen 5 3500U 512GB SSD 8GB RAM Win 10 HomeÂ,"R8,999.00"
HP 255 G8 15.6-inch HD Laptop – AMD Ryzen 3 3200U 1TB HDD 4GB RAM Win 10 HomeÂ 34N19ES,"R6,399.00"
HP 255 G8 AMD 3020e 4GB 1TB HDD 15.6″ FHD Notebook,"R4,679.00"
HP Notebook 255 G8 â AMD Ryzen 5 3500U 8GB DDR4 2400 256GB,"R10,999.00"
HP ProBook 450 G8 15.6-inch HD Laptop – Intel Core i5-1135G7 256GB SSD 4GB RAM Win 10 Pro,"R11,808.00"
HP ProBook 450 G8 15.6-inch HD Laptop – Intel Core i5-1135G7 512GB SSD 4GB RAM LTE Win 10 Pro,"R15,759.00"
"9 Way,10 AMP CCTV PSU,PTC Fu",R457.00
Unique 500 Watt Power Supply unit,R499.00
Canon PIXMA MG2545S A4 3in1 Multifunction Inkjet Printer,R570.00
PANTUM PRINTER MONOCHROM LAZER,R559.00
D-Link Wireless N150 Wifi Router,R99.00
KASPERSKY INTERNET SECURITY DVD 4-USERS,R325.00
Dahua 2.5″ SATA SSD,R549.00
Dahua SSD-C800AS120G 2.5″ SATA Solid State Drive,R309.00
HIKVISION E1000 M.2 PCI-E NVME 512GB SSD,R899.00
HIKVISION E2000 M.2 PCI-E NVME 256GB SSD,R499.00
Hikvision External SSD 128GB,R499.00
Hikvision External SSD 256GB,R699.00
Hikvision External SSD 512GB,R999.00
Hikvision Internal SSD 128GB,R439.00
HIKVISION NVME 256GB SSD,R899.00
HIKVISION NVME 256GB SSD,"R1,299.00"
Patriot 240GB SSD 2.5″ SATA 3.0 6Gbp/s Solid State Drive,R515.00
Patriot 480GB SSD 2.5″ SATA 3 Solid State Drive,R815.00
MEDICAL INFRARED THERMOMETER,R160.00
Kstar MicroPower UA100 1000VA Line Interactive UPS (KS-UA100),"R1,195.00"
