Product Name,Price
SEAGATE 6TB SURVEILLANCE INTERNAL HARD DRIVE HDD,"R2,699.00"
Seagate external portable Hard drive,R699.00
Seagate external portable Hard drive,R979.00
WD Elements Portable 2TB Black External Hard Drive,R979.00
WD Elements Portable External 1.5TB Hard Drive Black,R810.00
WD Purple 2TB 3.5″ Surveillance Hard Drive,R999.00
Western Digital 1TB WD Purple Surveillance Internal Hard Drive HDD,R689.00
Western Digital 2TB Internal Purple Surveillance Hard drive,"R1,599.00"
Western Digital 4TB Purple Surveillance Harddrive,"R1,989.00"
Western Digital Elements 1TB External Hard Drive Black,R699.00
Western Digital Elements 4TB External Hard Drive Black,"R1,499.00"
Western Digital Internal Purple Harddrive,"R2,799.00"
