Product Name,Price
ASUS X409 Core i7 8565U,"R10,599.00"
ASUS X543MA-C41G0W Intel Celeron N4020,"R4,199.00"
Dell Inspiron 3511 11th gen Notebook Intel i7-1165G7,"R12,999.00"
HP 250 G8 15.6-inch FHD Laptop – Intel Core i5-1135G7 256GB SSD 8GB RAM Win 10 Pro,"R12,199.00"
HP 250 G8 Notebook PC – Core i5-1035U,"R9,999.00"
HP 250 G9 Notebook PC – Celeron N4020 / 15.6″ HD / 8GB RAM / 256GB SSD / Windows 11 Home,"R4,985.00 R5,399.00"
HP 255 G10 15.6-inch HD Laptop – AMD Ryzen 5 3500U 512GB SSD 8GB RAM Win 10 HomeÂ,"R8,999.00"
HP 255 G8 15.6-inch HD Laptop – AMD Ryzen 3 3200U 1TB HDD 4GB RAM Win 10 HomeÂ 34N19ES,"R6,399.00"
HP 255 G8 AMD 3020e 4GB 1TB HDD 15.6″ FHD Notebook,"R4,679.00"
HP Notebook 255 G8 â AMD Ryzen 5 3500U 8GB DDR4 2400 256GB,"R10,999.00"
HP ProBook 450 G8 15.6-inch HD Laptop – Intel Core i5-1135G7 256GB SSD 4GB RAM Win 10 Pro,"R11,808.00"
HP ProBook 450 G8 15.6-inch HD Laptop – Intel Core i5-1135G7 512GB SSD 4GB RAM LTE Win 10 Pro,"R15,759.00"
