Product Name,Price
Dahua 2.5″ SATA SSD,R549.00
Dahua SSD-C800AS120G 2.5″ SATA Solid State Drive,R309.00
HIKVISION E1000 M.2 PCI-E NVME 512GB SSD,R899.00
HIKVISION E2000 M.2 PCI-E NVME 256GB SSD,R499.00
Hikvision External SSD 128GB,R499.00
Hikvision External SSD 256GB,R699.00
Hikvision External SSD 512GB,R999.00
Hikvision Internal SSD 128GB,R439.00
HIKVISION NVME 256GB SSD,R899.00
HIKVISION NVME 256GB SSD,"R1,299.00"
Patriot 240GB SSD 2.5″ SATA 3.0 6Gbp/s Solid State Drive,R515.00
Patriot 480GB SSD 2.5″ SATA 3 Solid State Drive,R815.00
